연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월
1,1,150,서울역(1),802154,840564,1042884,1057864,1057001,1092515,938952,898344,925167,1086865,1220692
2,1,151,시청(1),411990,417801,534731,537648,515232,549054,477470,445417,451914,514793,602609
3,1,152,종각,648570,666932,840533,829143,804113,860892,746300,693893,679113,768739,894609
4,1,153,종로3가(1),463326,503958,642860,626136,624391,631786,571573,559795,556513,636593,658369
5,1,154,종로5가,461871,471460,604339,588509,581694,599678,531719,503303,517109,580387,593472
6,1,155,동대문(1),244876,251292,309980,307211,319105,311708,278166,263320,280819,306718,309195
7,1,156,신설동(1),301392,299312,372961,366108,350282,364105,335237,319563,325019,351095,370223
8,1,157,제기동,415812,411663,497716,489466,466926,473636,427479,424849,459615,479806,481088
9,1,158,청량리,474213,477755,573158,562721,555805,558563,508791,498187,514230,551897,558287
10,1,159,동묘앞(1),225785,236622,290491,289343,292222,277020,236293,239817,264091,293322,271444
11,2,201,시청(2),443745,440047,554087,541913,486050,537967,484234,453293,438069,484105,578546
12,2,202,을지로입구,809036,802562,992349,975187,912410,999409,874941,826026,816996,900387,1033039
13,2,203,을지로3가(2),415651,418536,527115,527493,508876,557845,484345,454785,444267,497238,583513
14,2,204,을지로4가(2),276201,261660,325255,321848,304459,327137,291484,279666,276670,306573,335311
15,2,205,동대문역사문화공원(2),293823,295575,379587,369924,368342,375767,332827,314852,325127,371961,391681
16,2,206,신당(2),321847,321641,395942,388041,382333,385302,352370,341499,343717,379503,392726
17,2,207,상왕십리,300203,294450,368487,363147,354040,369650,333800,321036,321243,352050,373407
18,2,208,왕십리(2),287008,297222,369970,356746,358666,357838,317146,298442,294501,346251,381709
19,2,209,한양대,142733,141337,221814,233813,207221,225636,159273,144580,152861,196898,250055
20,2,210,뚝섬,467434,482904,605740,630299,601227,645348,545590,520430,526185,577889,626871
21,2,211,성수,783208,794605,982999,972091,935853,1003551,911264,868686,869650,945049,1053215
22,2,212,건대입구(2),805386,802174,1015631,996812,1035995,1023671,886782,854231,874130,997947,1085436
23,2,213,구의,521538,509611,619590,609571,594851,612888,566597,543435,538534,587624,627294
24,2,214,강변,643582,692362,815906,807961,820609,823840,732777,707330,735846,813000,850075
25,2,215,잠실나루,290422,284935,364249,362137,345473,366725,324859,313984,314512,348507,372362
26,2,216,잠실(2),1388552,1471220,1790634,1750480,1775056,1804507,1566519,1519628,1526697,1791116,1940116
27,2,217,잠실새내,453358,459282,562820,554507,555140,564463,507282,482376,482287,540639,583721
28,2,218,종합운동장(2),153262,156176,213371,236590,231276,245697,190244,171384,176748,211611,290551
29,2,219,삼성,1035070,1040859,1342929,1288058,1252251,1351284,1103796,1079607,1059307,1218410,1428295
30,2,220,선릉,1025157,990082,1263482,1227416,1145067,1247463,1123721,1052433,1016896,1130181,1286897
